source,target,type
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1424,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1423,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1429,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1407,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1429,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1428,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1429,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1436,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1434,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1439,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1439,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1438,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1440,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1440,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1438,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1441,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1441,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1438,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1442,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1442,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1438,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1443,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1443,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1438,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1444,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1444,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1438,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1448,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1446,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1448,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1447,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1449,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1446,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1449,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1447,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1452,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1451,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1452,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1473,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1456,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1457,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1458,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1459,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1462,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1462,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1461,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1464,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1467,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1466,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1469,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1479,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1471,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1480,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1471,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1481,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1471,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1484,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1483,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1487,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1486,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1491,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1489,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1491,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1490,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1492,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1489,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1492,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1490,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1496,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1496,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1495,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1498,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1499,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1413,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1503,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1501,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1503,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1502,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1507,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1505,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1507,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1506,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1510,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1509,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1511,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1509,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1515,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1428,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1530,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1505,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1530,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1529,TREATS
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1403,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1405,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1406,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1409,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1406,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1410,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1406,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1411,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1412,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1417,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1418,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1411,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1418,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1421,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1422,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:289,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1422,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1424,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1427,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1429,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1430,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1405,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1433,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1434,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1435,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1429,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1437,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1439,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1437,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1440,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1437,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1441,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1437,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1442,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1437,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1443,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1437,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1444,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1445,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1448,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1445,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1449,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1450,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1452,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1455,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1456,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1455,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1457,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1455,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1458,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1455,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1459,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1460,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1462,INVOLVES
4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1463,4:4e0830d9-7413-4b1e-83ba-e7d830b0a219:1411,INVOLVES
